"","clo","tOut","tInOp","sex","subjId","time","day"
"432",0.48,19.26255,27.91197167,"male",105,1.25,3
"433",0.48,19.9,28.54991972,"male",105,1.2,3
"434",0.48,19.8,28.82508781,"male",105,1.55,3
"435",0.52,10.43716667,23.61423018,"male",107,0,1
"436",0.52,10.93183333,25.61722122,"male",107,1.15,1
"437",0.52,9.337333333,27.35138983,"male",107,1.55,1
"438",0.52,14.10085,23.60482782,"male",107,2.41666666666667,1
"439",0.52,14.83325,23.43175952,"male",107,1.6,1
"440",0.52,12.80136667,23.42077851,"male",107,0,2
"441",0.52,14.35666667,23.40605592,"male",107,1.61666666666667,2
"442",0.52,15.14305,23.39442379,"male",107,1.28333333333333,2
"443",0.52,13.21653333,22.77818526,"male",107,0,3
"444",0.52,15.19946667,22.33759579,"male",107,1.15,3
"445",0.52,16.99243333,22.94065254,"male",107,1.53333333333333,3
"446",0.52,18.9305,24.52715169,"male",107,1.26666666666667,3
